事儿	matter; thing	shìr	你 有 什么 事儿？	nǐ yǒu shénme shìr?	What's the matter? / What is it?
混	to get along	hùn	他 和 朋友 们 在 学校 混 的 很 好。	tā hé péngyoumen zài xuéxiào hùn de hěn hǎo.	He gets along very well with his friends at school.
犯罪	to commit a crime	fàn zuì	如果 你 杀 人，你 就 犯罪 了。	rúguǒ nǐ shārén, nǐ jiù fànzuì le.	If you kill someone, you have committed a crime.
挂	to hang; to hang up	guà	请 把 你 的 衣服 挂 在 这里。	qǐng bǎ nǐ de yīfu guà zài zhèli.	Please hang your clothes here.
白痴	idiot	bái chī	不要 做 这样 的 事，很 白痴。	bùyào zuò zhèyàng de shì, hěn báichī.	Don't do things like that, it's idiotic.
信任	to trust	xìn rèn	我 不 信任 他 说 的 话。	wǒ bù xìnrèn tā shuō de huà.	I don't trust what he says.
未来	future	wèi lái	我们 不 知道 未来 会 发生 什么 事。	wǒmen bù zhīdào wèilái huì fāshēng shénme shì.	We don't know what will happen in the future.
道歉	to apologize	dào qiàn	你 做 错 了 事，应该 对 他 道歉。	nǐ zuòcuò le shì, yīnggāi duì tā dàoqiàn.	You did something wrong, you should apologize to him.
可怜	pitiful; poor	kě lián	这 个 小孩 很 可怜。	zhè ge xiǎohái hěn kělián.	This child is very pitiful.
实在	really; truly	shí zài	这 个 问题 太 难 了，我 实在 不 会。	zhè ge wèntí tài nán le, wǒ shízài bù huì.	This problem is too difficult; I really don't know how to do it.
骗	to deceive; to cheat	piàn	你 要 骗 我 吗？这 个 手机 没有 那么 贵！	nǐ yào piàn wǒ ma? Zhè ge shǒujī méiyǒu nàme guì!	Are you trying to cheat me? This phone doesn't cost that much!
加入	to join	jiā rù	我 可以 加入 你们 的 学习 小组 吗？	wǒ kěyǐ jiārù nǐmen de xuéxí xiǎozǔ ma?	Can I join your study group?
案子	(law) case	ànzǐ	警察 正在 调查 这 件 案子	Jǐngchá zhèngzài diàochá zhè jiàn ànzǐ	The police are investigating this case.
根	root; foundation	gēn	这 个 树 的 根 很 大。	zhè ge shù de gēn hěn dà.	The root of this tree is very big.
吓	to frighten; to scare	xià	他 突然 出现，吓 了 我 一跳。	tā tūrán chūxiàn, xià le wǒ yī tiào.	He appeared suddenly and gave me a fright.
治疗	to treat; to cure	zhì liáo	医生 说 这 种 病 很 难 治疗。	yīshēng shuō zhè zhǒng bìng hěn nán zhìliáo.	The doctor said this kind of illness is difficult to treat.
原谅	to forgive	yuán liàng	请 你 原谅 我，我 不 知道 这 件 事。	qǐng nǐ yuánliàng wǒ, wǒ bù zhīdào zhè jiàn shì.	Please forgive me, I didn't know about this matter.
行为	action; behavior	xíng wéi	你 这样 做 不 对，这是 错误 的 行为.	nǐ zhèyàng zuò bùduì, zhè shì cuòwù de xíngwéi	It's not right for you to do this, it's wrong behavior.
组织	to organize; organization	zǔ zhī	他 帮助 我们 组织 了 一 次 会议。	tā bāngzhù wǒmen zǔzhī le yī cì huìyì.	He helped us organize a meeting.
合作	to cooperate; cooperation	hé zuò	如果 我们 合作，就 会 很 快 完成。	rúguǒ wǒmen hézuò, jiù huì hěn kuài wánchéng.	If we cooperate, we will finish very quickly.
婚礼	wedding	hūn lǐ	婚礼 是 哪天	hūnlǐ shì nǎ tiān	What day is the wedding?
想想	to think about	xiǎng xiang	让 我 想想。	ràng wǒ xiǎngxiang.	Let me think about it.
老板	boss	lǎo bǎn	老板 说 明天 休息。	lǎobǎn shuō míngtiān xiūxi.	The boss said tomorrow is a day off.
来到	to arrive; to come	lái dào	我 昨天 来到 北京。	wǒ zuótiān láidào Běijīng.	I came to (arrived in) Beijing yesterday.
乱	chaotic; messy	luàn	我 的 房间 太 乱 了，我 得 打扫 一下。	wǒ de fángjiān tài luàn le, wǒ děi dǎsǎo yīxià.	My room is too messy, I have to clean it up a bit.
词	word	cí	我 不 会 写 这 个 词。	wǒ bù huì xiě zhè ge cí.	I don't know how to write this word.
超	super; exceed	chāo	他 超 聪明！	tā chāo cōngmíng!	He is super smart!
支	(measure word for long, thin, inflexible objects)	zhī	请 给 我 一 支 铅笔。	qǐng gěi wǒ yī zhī qiānbǐ.	Please give me a pencil.
老婆	wife (informal)	lǎo po	我 的 老婆 很 漂亮。	wǒ de lǎopo hěn piàoliang.	My wife is very beautiful.
中心	center; heart	zhōng xīn	城市 中心 很 多 人。	chéngshì zhōngxīn hěn duō rén.	There are many people in the city center.
可怕	terrible; awful	kě pà	那 次 经历 太 可怕 了，我 永远 不 会 忘记。	nà cì jīnglì tài kěpà le, wǒ yǒngyuǎn bù huì wàngjì.	That experience was too terrible, I will never forget it.
假	fake; false	jiǎ	那 个 故事 是 假 的。	nà ge gùshi shì jiǎ de.	That story is fake.
明显	clear; obvious	míng xiǎn	他 没 来，明显 是 因为 他 很 忙。	tā méi lái, míngxiǎn shì yīnwèi tā hěn máng.	He didn't come. It's obvious that it's because he's busy.
研究	to research; to study	yán jiū	我 在 大学 研究 中国 文化。	wǒ zài dàxué yánjiū Zhōngguó wénhuà.	I study Chinese culture at university.
意识	consciousness; awareness	yì shí	他 喝 了 很 多 酒，现在 失去 意识 了。	tā hē le hěn duō jiǔ, xiànzài shīqù yìshí le.	He drank a lot of alcohol, and now he has lost consciousness.
满	full	mǎn.	杯子 满 了	bēizi mǎn le.	The cup is full.
打扰	to disturb; to bother	dǎ rǎo	对不起，打扰 一下，请问 现在 几 点？	duìbuqǐ, dǎrǎo yīxià, qǐngwèn xiànzài jǐ diǎn?	Sorry to disturb you, what time is it now?
好运	good luck	hǎo yùn	祝 你 好运！	zhù nǐ hǎoyùn!	Wishing you good luck!
线索	clue	xiàn suǒ	警察 找到 了 一 个 重要 线索。	jǐngchá zhǎodào le yī gè zhòngyào xiànsuǒ.	The police found an important clue.
消失	to disappear	xiāo shī	他 走 得 很 快，一会儿 就 消失 了。	tā zǒu de hěn kuài, yīhuǐr jiù xiāoshī le.	He walked very fast and disappeared in a moment.
正确	correct; right	zhèng què	你 的 回答 很 正确。	nǐ de huídá hěn zhèngquè.	Your answer is correct.
位置	position; place	wèi zhi	这 个 椅子 的 位置 不 对。	zhè ge yǐzi de wèizhi bùduì.	The position of this chair is not right.
答应	to agree; to promise	dā ying	他 答应 帮助 我 学习 汉语。	tā dāying bāngzhù wǒ xuéxí Hànyǔ.	He promised to help me learn Chinese.
收	to receive; to accept	shōu	我 收到 了 你 的  信。	wǒ shōudào le nǐ de xìn.	I received your letter.
砸	to smash; to pound	zá	他 太 生气 了，把 手机 砸 了。	tā tài shēngqì le, bǎ shǒujī zá le.	He was so angry that he smashed his phone.
街	street	jiē	我 住 在 这 条 街 上。	wǒ zhù zài zhè tiáo jiē shang.	I live on this street.
区	district; area	qū	我 住 在 朝阳 区。	wǒ zhù zài Cháoyáng qū.	I live in Chaoyang District.
撞	to collide; to bump into	zhuàng	小心！不要 撞 到 门！	xiǎoxīn! Bùyào zhuàngdào mén!	Careful! Don't bump into the door!
秒	second (of time)	miǎo	请 等 我 几 秒 钟。	qǐng děng wǒ jǐ miǎo zhōng.	Please wait a few seconds for me.
似乎	it seems; as if	sì hū	他 似乎 不 喜欢 这里。	tā sìhū bù xǐhuan zhèli.	It seems he doesn't like it here.
放下	to put down	fàng xià	请 你 放下 那 个 杯子！	qǐng nǐ fàngxià nà ge bēizi!	Please put down that cup!
力量	strength; power	lì liang	他 没有 力量 拿 这 个。	tā méiyǒu lìliang ná zhè ge.	He doesn't have the strength to lift this.
命令	order; command	mìng lìng	我 不 喜欢 别人 给 我 命令。	wǒ bù xǐhuan biérén gěi wǒ mìnglìng.	I don't like other people giving me orders.
同时	at the same time	tóng shí	他 可以 听 音乐，同时 写 作业。	tā kěyǐ tīng yīnyuè, tóngshí xiě zuòyè.	He can listen to music and, at the same time, write his homework.
提供	to provide; to offer	tí gōng	这 家 商店 提供 很多 种 水果。	zhè jiā shāngdiàn tígōng hěn duō zhǒng shuǐguǒ.	This store offers many kinds of fruit.
威胁	to threaten; threat	wēi xié	他 说 的 话 是 一 个 威胁 吗？	tā shuō de huà shì yī gè wēixié ma?	Is what he said a threat?
输	to lose (a game, etc.)	shū	我 不 想 输 这 个 比赛。	wǒ bù xiǎng shū zhè ge bǐsài.	I don't want to lose this game.
号码	number	hào mǎ	你 的 手机 号码 是 多少？	nǐ de shǒujī hàomǎ shì duōshao?	What is your phone number?
座	(measure word for buildings, mountains, etc.)	zuò	那 座 山 很 高。	nà zuò shān hěn gāo.	That mountain is very tall.
比如	for example	bǐ rú	我 喜欢 很 多 运动，比如 篮球。	wǒ xǐhuan hěn duō yùndòng, bǐrú lánqiú.	I like many sports, for example, basketball.
剩下	to be left (over); surplus	shèng xià	只 剩下 一 片 面包 了。	zhǐ shèngxià yī piàn miànbāo le.	There is only one slice of bread left.
严重	serious; grave	yán zhòng	他 生病 了，情况 很 严重。	tā shēngbìng le, qíngkuàng hěn yánzhòng.	He is sick, and the situation is very serious.
感	to feel; sense	gǎn	我 感 到 很 冷。	wǒ gǎndào hěn lěng.	I feel very cold.
享受	to enjoy; enjoyment	xiǎng shòu	我 喜欢 在 这里 享受 时间。	wǒ xǐhuan zài zhèli xiǎngshòu shíjiān.	I like to enjoy my time here.
战争	war	zhàn zhēng	战争 很 可怕。	zhànzhēng hěn kěpà.	War is terrible.
恭喜	congratulations	gōng xǐ	恭喜 你！你 做 到 了！	gōngxǐ nǐ! Nǐ zuòdào le!	Congratulations! You did it!
杀死	to kill	shā sǐ	不要 杀死 动物！	bùyào shāsǐ dòngwù!	Don't kill animals!
其	its; his; her; their (formal)	qí	学生 应 完成 其 作业。	xuéshēng yīng wánchéng qí zuòyè.	Students should complete their homework.
利用	to use; to utilize	lì yòng	我们 要 好好 利用 时间。	wǒmen yào hǎohāo lìyòng shíjiān.	We need to make good use of our time.
恨	to hate	hèn	我 恨 他！	wǒ hèn tā!	I hate him!
杀人	murderer	shā rén	警察 在 找 杀人 的 人。	jǐngchá zài zhǎo shārén de rén.	The police are looking for the person who killed someone.
脱	to take off (clothes, etc.)	tuō	请 进门 前 脱 鞋。	qǐng jìnmén qián tuōxié.	Please take off your shoes before entering.
陪	to accompany	péi	你 要 不要 陪 我 去 商店？	nǐ yào bu yào péi wǒ qù shāngdiàn?	Do you want to accompany me to the store?
失踪	missing	shī zōng	他 的 猫 失踪 了 ，他 很 着急 。	tā de māo shīzōng le, tā hěn zhāojí.	His cat is missing, he is very worried.
真相	truth	zhēn xiàng	我 不 知道 这 件 事 的 真相 。	wǒ bù zhīdào zhè jiàn shì de zhēnxiàng.	I don't know the truth of this matter.
法律	law	fǎ lǜ	他 在 大学 学习 法律 。	tā zài dàxué xuéxí fǎlǜ.	He studies law at university.
训练	to train	xùn liàn	他 每天 都 在 训练 他 的 狗 。	tā měitiān dōu zài xùnliàn tā de gǒu.	He trains his dog every day.
值得	to be worth	zhí de	这 本 书 值得 一 看 。	zhè běn shū zhí de yī kàn.	This book is worth a read.
阿	(prefix for names/kinship terms; Cantonese: dialectal vocative particle)	ā	阿 姨 ， 你 好 ！	ā yí, nǐ hǎo!	Hello, Auntie!
主	master, main	zhǔ	他 不 是 这 个 房间 的 主 人 。	tā bù shì zhè ge fángjiān de zhǔrén.	He is not the owner of this room.
有意思	interesting	yǒu yì si	他 说 的 话 很 有意思。	tā shuō de huà hěn yǒuyìsi.	What he said is very interesting.
使用	to use	shǐ yòng	我 不 知道 怎么 使用 这 个 手机 。	wǒ bù zhīdào zěnme shǐyòng zhè ge shǒujī.	I don't know how to use this phone.
方面	aspect; side	fāng miàn	他 在 很 多 方面 都 很 强 。	tā zài hěn duō fāngmiàn dōu hěn qiáng.	He is strong in many aspects.
恐怖	terrifying	kǒng bù	那 部 电影 很 恐怖 。	nà bù diànyǐng hěn kǒngbù.	That movie is terrifying.
尽	to exert; to exhaust	jìn	我 会 尽 一切 努力 帮助 你 。	wǒ huì jìn yīqiè nǔlì bāngzhù nǐ.	I will do everything I can to help you.
原来	as it turns out; actually	yuán lái	我 以为 他 会 来，原来 他 病 了。	wǒ yǐwéi tā huì lái, yuánlái tā bìng le.	I thought he would come; as it turns out, he was sick.
警官	police officer	jǐng guān	他 长大 后 想 当 警官。	tā zhǎng dà hòu xiǎng dāng jǐngguān.	He wants to be a police officer when he grows up.
酒吧	bar	jiǔ bā	我 们 去 酒吧 喝 一 杯 啤酒 。	wǒmen qù jiǔbā hē yī bēi píjiǔ.	Let's go to the bar for a beer.
讨论	to discuss	tǎo lùn	我们 可以 讨论 一下 这 个 问题 。	wǒmen kěyǐ tǎolùn yīxià zhè ge wèntí.	We can discuss this issue.
同样	same; equal	tóng yàng	我 和 你 有 同样 的 爱好 。	wǒ hé nǐ yǒu tóngyàng de àihào.	I have the same hobbies as you.
身份	identity	shēn fèn	警察 问 他 的 身份。	jǐngchá wèn tā de shēnfèn.	The police asked for his identity.
说明	to explain; explanation	shuō míng	请 你 说明 一下 这 个 句子 的 意思 。	qǐng nǐ shuōmíng yīxià zhè ge jùzi de yìsi.	Please explain the meaning of this sentence.
什么样	what kind	shén me yàng	你 喜欢 什么样 的 音乐 ？	nǐ xǐhuan shénmeyàng de yīnyuè?	What kind of music do you like?
岛	island	dǎo	那 个 岛 上 有 很 多 树 。	nà ge dǎo shàng yǒu hěn duō shù.	There are many trees on that island.
足够	enough; sufficient	zú gòu	我 没有 足够 的 钱 买 这 个 手机 。	wǒ méiyǒu zúgòu de qián mǎi zhè ge shǒujī.	I don't have enough money to buy this phone.
鸡	chicken	jī	我 喜欢 吃 鸡 和 米饭 。	wǒ xǐhuan chī jī hé mǐfàn.	I like to eat chicken and rice.
养	to raise; to keep (pets)	yǎng	我 妹妹 想 在 家 养 一 只 猫 。	wǒ mèimei xiǎng zài jiā yǎng yī zhī māo.	My little sister wants to keep a cat at home.
仍然	still; yet	réng rán	虽然 他 很 忙 ， 但 他 仍然 帮助 我 。	suīrán tā hěn máng, dàn tā réngrán bāngzhù wǒ.	Although he is very busy, he still helps me.
一旦	once; in case	yī dàn	一旦 他 来 了 ， 我们 就 开始 吃饭 。	yīdàn tā lái le, wǒmen jiù kāishǐ chīfàn.	Once he comes, we will start eating.
追	to chase; to pursue	zhuī	警察 正在 追 那 个 人 。	jǐngchá zhèngzài zhuī nà ge rén.	The police are chasing that person.
动作	movement; action	dòng zuò	这 部 电影 里 的 动作 很 好看 。	zhè bù diànyǐng lǐ de dòngzuò hěn hǎokàn.	The action in this movie is very good to watch.
意味着	to signify; to mean	yì wèi zhe	红色 意味着 什么？	hóngsè yìwèizhe shénme?	What does the color red signify?
受到	to receive; to suffer	shòu dào	她 收到 了 很 多 生日 礼物 。	tā shòudào le hěn duō shēngrì lǐwù.	She received many birthday gifts.
群	group; crowd	qún	那 一 群 人 在 做 什么 ？	nà yī qún rén zài zuò shénme?	What are those people doing?
之一	one of	zhī yī	他 是 我 最 好 的 朋友 之一 。	tā shì wǒ zuìhǎo de péngyou zhīyī.	He is one of my best friends.
因	cause; reason	yīn	比赛 因 雨 停 。 明天 继续 。	bǐsài yīn yǔ tíng. Míngtiān jìxù.	Game stopped due to rain. Will continue tomorrow.
约	approximately; to make an appointment	yuē	我 约 了 朋友 明天 见面 。	wǒ yuē le péngyou míngtiān jiànmiàn.	I made an appointment to meet a friend tomorrow.
赶	to hurry; to rush	gǎn	我 得 赶 火车。	wǒ děi gǎn huǒchē.	I have to catch the train.
面对	to face; to confront	miàn duì	面对 这 个 问题 ， 我 需要 你 的 帮助 。	miànduì zhè ge wèntí, wǒ xūyào nǐ de bāngzhù.	Facing this problem, I need your help.
怀疑	to doubt; to suspect	huái yí	我 怀疑 他 不 会 来 了 。	wǒ huáiyí tā bù huì lái le.	I suspect he won't come.
居然	unexpectedly; to one's surprise	jū rán	他 居然 不 认识 我 了 ！	tā jūrán bù rènshi wǒ le!	He unexpectedly doesn't recognize me anymore!
就要	will soon; be about to	jiù yào	火车 就 要 来 了 。	huǒchē jiù yào lái le.	The train is about to arrive.
拒绝	to refuse; to reject	jù jué	他 拒绝 了 我 的 帮助 。	tā jùjué le wǒ de bāngzhù.	He refused my help.
家人	family members	jiā rén	我 的 家人 都 很 爱 我 。	wǒ de jiārén dōu hěn ài wǒ.	All my family members love me.
雷	thunder	léi	下雨 了 ， 还 打雷 了 。	xià yǔ le, hái dǎléi le.	It's raining, and there's also thunder.
演员	actor; actress	yǎn yuán	那 部 电影 演员 很 有名 。	nà bù diànyǐng yǎnyuán hěn yǒumíng.	That movie actor is very famous.
烧	to burn; to cook	shāo	小心 ， 不要 让 火 烧 到 你 的 手 。	xiǎoxīn, bùyào ràng huǒ shāo dào nǐ de shǒu.	Be careful, don't let the fire burn your hand.
真实	true; real	zhēn shí	这 不 是 一 个 真实 的 故事 。	zhè bù shì yī gè zhēnshí de gùshi.	This is not a true story.
交易	transaction; deal	jiāo yì	我 想 和 你 做 个 交易 。	wǒ xiǎng hé nǐ zuò gè jiāoyì.	I want to make a deal with you.
破	broken; damaged	pò	这 个 杯子 破 了 ，不 能 用 了	zhè ge bēizi pò le, bù néng yòng le	This cup is broken and can no longer be used
停止	to stop; to cease	tíng zhǐ	请 停止 说话 ！ 现在 是 考试 时间 ！	qǐng tíngzhǐ shuōhuà! Xiànzài shì kǎoshì shíjiān!	Please stop talking! It's exam time now!
人生	life	rén shēng	每 个 人 的 人生 都 不 一样 。	měi gè rén de rénshēng dōu bù yīyàng.	Everyone's life is different.
因此	therefore; so	yīn cǐ	他 生病 了 ， 因此 没有 来 上班 。	tā shēngbìng le, yīncǐ méiyǒu lái shàngbān.	He got sick; therefore, he didn't come to work.
恶心	disgusting; nauseating	ě xīn	这 个 水果 很 恶心, 不要 吃.	zhè ge shuǐguǒ hěn ěxīn, bú yào chī.	This fruit is disgusting, do not eat it.
夜	night	yè	昨夜 下 了 好 大 的 雨 。	zuóyè xià le hǎo dà de yǔ.	It rained very heavily last night.
属于	to belong to; to be part of	shǔ yú	这 间 房间 属于 我 哥哥。	zhè jiān fángjiān shǔyú wǒ gēge.	This room belongs to my older brother.
舞蹈	dance	wǔ dǎo	她 喜欢 跳舞 ， 也 喜欢 看 舞蹈 表演 。	tā xǐhuan tiàowǔ, yě xǐhuan kàn wǔdǎo biǎoyǎn.	She likes to dance and also likes to watch dance performances.
算是	to be considered as	suàn shì	他 工作 很 努力 ， 算是 一 个 好 学生 。	tā gōngzuò hěn nǔlì, suànshì yī gè hǎo xuésheng.	He works very hard and can be considered a good student.
演	to perform; to act	yǎn	她 在 那 部 电影 里 演 谁 ？	tā zài nà bù diànyǐng lǐ yǎn shéi?	Who does she play in that movie?
答案	answer; solution	dá àn	请 把 答案 写 在 笔记本 上 。	qǐng bǎ dá'àn xiě zài bǐjìběn shàng.	Please write the answer in your notebook.
出色	outstanding; excellent	chū sè	他 的 工作 很 出色 。	tā de gōngzuò hěn chūsè.	His work is outstanding.
目前	currently; at present	mù qián	我 目前 在 北京 工作 。	wǒ mùqián zài Běijīng gōngzuò.	I am currently working in Beijing.
活动	activity; to exercise	huó dòng	今天 学校 有 什么 活动 ？	jīntiān xuéxiào yǒu shénme huódòng?	What activities does the school have today?
锁	to lock; lock	suǒ	请 你 出门 的 时候 锁 门。	qǐng nǐ chūmén de shíhou suǒ mén.	Please lock the door when you leave.
梦想	dream; aspiration	mèng xiǎng	我 的 梦想 是 去 中国 。	wǒ de mèngxiǎng shì qù Zhōngguó.	My dream is to go to China.
最终	finally; ultimately	zuì zhōng	我们 最终 找到 了 那 家 商店 。	wǒmen zuìzhōng zhǎodào le nà jiā shāngdiàn.	We finally found that store.
大人	adult	dà ren	大人 才 可以 买 酒。	dàrén cái kěyǐ mǎi jiǔ.	Only adults can buy alcohol.
再次	once more; again	zài cì	我 再次 感谢 大家 的 帮助 。	wǒ zàicì gǎnxiè dàjiā de bāngzhù.	I once again thank everyone for their help.
既然	since; now that	jì rán	既然 你 不 想 去 ， 就 在 家 休息 。	jìrán nǐ bù xiǎng qù, jiù zài jiā xiūxi.	Since you don't want to go, just rest at home.
人员	personnel; staff	rén yuán	这 个 房间 只 可以 工作 人员 进 。	zhè ge fángjiān zhǐ kěyǐ gōngzuò rényuán jìn.	Only staff can enter this room.
英雄	hero	yīng xióng	英雄 不 怕 危险 。	yīngxióng bù pà wēixiǎn.	Heroes are not afraid of danger.
坐下	to sit down	zuò xià	请 你 坐下 ， 我们 要 开始 了 。	qǐng nǐ zuòxià, wǒmen yào kāishǐ le.	Please sit down; we are about to start.
感受	to feel; feeling	gǎn shòu	你 听 了 这 首 歌 有 什么 感受 ？	nǐ tīng le zhè shǒu gē yǒu shénme gǎnshòu?	How do you feel after listening to this song?
副	deputy; vice-	fù	他 是 我 们 公司 的 副 经理。	tā shì wǒmen gōngsī de fù jīnglǐ.	He is the vice manager of our company.
事件	event; incident	shì jiàn	这 是 一 件 很 重要 的 事件 。	zhè shì yī jiàn hěn zhòngyào de shìjiàn.	This is a very important event.
吻	kiss	wěn	她 给 了 他 一 个 吻 。	tā gěi le tā yī gè wěn.	She gave him a kiss.
罪	crime; guilt	zuì	警察 说 他 有 罪 。	jǐngchá shuō tā yǒu zuì.	The police said he was guilty of a crime.
逃	to escape; to flee	táo	那 个 人 看到 警察 就 逃 了。	nà ge rén kàn dào jǐngchá jiù táo le.	That person saw the police and fled.
通知	to notify; notice	tōng zhī	请 你 通知 大家 来 开会 。	qǐng nǐ tōngzhī dàjiā lái kāihuì.	Please notify everyone to come to the meeting.
不得不	have no choice but to	bù dé bù	我 不得不 去 上班 ， 因为 我 没有 钱 。	wǒ bùdébù qù shàngbān, yīnwèi wǒ méiyǒu qián.	I have no choice but to go to work because I have no money.
无论	no matter what/how/etc.	wú lùn	无论 你 说 什么 ， 我 都 不 会 去 。	wúlùn nǐ shuō shénme, wǒ dōu bù huì qù.	No matter what you say, I won't go.
放开	to let go; to release	fàng kāi	请 你 放开 我 的 手 ！	qǐng nǐ fàngkāi wǒ de shǒu!	Please let go of my hand!
刀	knife	dāo	这 把 刀 不 可以 给 孩子 玩 。	zhè bǎ dāo bù kěyǐ gěi háizi wán.	This knife cannot be given to children to play with.
后来	afterwards; later	hòu lái	我 先 去 了 商店 ， 后来 去 了 学校 。	wǒ xiān qù le shāngdiàn, hòulái qù le xuéxiào.	I first went to the store, and later went to school.
愿	to be willing; to wish	yuàn	我 愿 帮助 你 学习 汉语 。	wǒ yuàn bāngzhù nǐ xuéxí hànyǔ.	I am willing to help you learn Chinese.
适合	to suit; to fit	shì hé	这 件 衣服 很 适合 你 。	zhè jiàn yīfu hěn shìhé nǐ.	This clothing suits you very well.
允许	to permit; to allow	yǔn xǔ	这里 不 允许 停车 。	zhèlǐ bù yǔnxǔ tíngchē.	Parking is not allowed here.
失望	disappointed	shī wàng	我 对 你 很 失望 。	wǒ duì nǐ hěn shīwàng.	I am very disappointed in you.
意见	opinion; suggestion	yì jiàn	你 对 这 件 事 有 什么 意见 ？	nǐ duì zhè jiàn shì yǒu shénme yìjiàn?	What is your opinion on this matter?
获得	to obtain; to get	huò dé	他 获得 了 第 一 名 。	tā huòdé le dì yī míng.	He obtained first place.
要是	if; suppose	yào shi	要是 明天 不 下雨 ， 我们 就 去 公园 。	yàoshi míngtiān bù xiàyǔ, wǒmen jiù qù gōngyuán.	If it doesn't rain tomorrow, we will go to the park.
数	number; to count	shù	请 你 数 一下 这 有 几 把 椅子 。	qǐng nǐ shǔ yīxià zhè yǒu jǐ bǎ yǐzi.	Please count how many chairs are here.
公寓	apartment	gōng yù	我 住 在 一 个 小 公寓 里 。	wǒ zhù zài yī gè xiǎo gōngyù lǐ.	I live in a small apartment.
文件	document; file	wén jiàn	这 是 一 个 很 重要 的 文件 。	zhè shì yī gè hěn zhòngyào de wénjiàn.	This is a very important document.
只能	can only; have to	zhǐ néng	我 今天 很 忙 ， 只能 下午 给 你 打电话 了 。	wǒ jīntiān hěn máng, zhǐnéng xiàwǔ gěi nǐ dǎ diànhuà le.	I'm very busy today; I can only call you in the afternoon.
寻找	to seek; to look for	xún zhǎo	我 一直 在 寻找 我 的 钥匙 ， 但 还是 找 不到 。	wǒ yīzhí zài xúnzhǎo wǒ de yàoshi, dàn háishi zhǎo bùdào.	I've been looking for my keys, but I still can't find them.
攻击	to attack	gōng jī	狗 不会 攻击 人 ， 不要 害怕 。	gǒu bù huì gōngjī rén, bùyào hàipà.	Dogs don't attack people, don't be afraid.
烂	rotten; terrible	làn	这 个 水果 烂 了 ， 不能 吃 了 。	zhè ge shuǐguǒ làn le, bùnéng chī le.	This fruit is rotten; it can't be eaten.
不然	otherwise; if not	bù rán	你 现在 得 走 ， 不然 会 迟到 。	nǐ xiànzài děi zǒu, bùrán huì chídào.	You have to leave now; otherwise, you'll be late.
邀请	to invite	yāo qǐng	我 要 邀请 你 参加 我 的 生日 。	wǒ yào yāoqǐng nǐ cānjiā wǒ de shēngrì.	I want to invite you to my birthday party.
尽管	although; even though	jǐn guǎn	尽管 他 很 累 ， 他 还是 去 工作 了。	jǐnguǎn tā hěn lèi, tā háishì qù gōngzuò le.	Although he was tired, he still went to work.
浪费	to waste	làng fèi	不要 浪费 水 。	bùyào làngfèi shuǐ.	Don't waste water.
多谢	many thanks	duō xiè	多谢 你 的 帮助 ！	duōxiè nǐ de bāngzhù!	Many thanks for your help!
女朋友	girlfriend	nǚ péng you	他 有 一 个 很 漂亮 的 女朋友 。	tā yǒu yī gè hěn piàoliang de nǚpéngyou.	He has a very beautiful girlfriend.
一半	half	yī bàn	请 给 我 一半 的 面包 。	qǐng gěi wǒ yībàn de miànbāo.	Please give me half of the bread.
某个	certain; some	mǒu gè	我 在 找 某 个 人 ， 你 知道 他 在 哪儿 吗 ？	wǒ zài zhǎo mǒu gè rén, nǐ zhīdào tā zài nǎr ma?	I'm looking for someone; do you know where he is?
躲	to hide; to avoid	duǒ	猫 躲 在 桌子 下面 。	māo duǒ zài zhuōzi xiàmiàn.	The cat is hiding under the table.
为何	why (literary)	wèi hé	你 为何 不 去 上班 ？	nǐ wèihé bù qù shàngbān?	Why aren't you going to work?
要么	either...or	yào me	你 要么 现在 去 ， 要么 明天 去 。	nǐ yàome xiànzài qù, yàome míngtiān qù.	You either go now, or you go tomorrow.
逼	to force; to compel	bī	他 逼 我 说 出 了 真相 。	tā bī wǒ shuōchū le zhēnxiàng.	He forced me to tell the truth.
欠	to owe	qiàn	我 还 欠 你 多少 钱 ？	wǒ hái qiàn nǐ duōshao qián?	How much money do I still owe you?
轮	to take turns; wheel	lún	现在 轮 到 你 说话 了 。	xiànzài lún dào nǐ shuōhuà le.	Now it's your turn to speak.
试图	to attempt; to try	shì tú	我 试图 学习 汉语 ， 但是 很 难 。	wǒ shìtú xuéxí hànyǔ, dànshì hěn nán.	I try to learn Chinese, but it's very difficult.
反应	reaction; to react	fǎn yìng	听到 这 个 消息 ， 他 没有 什么 反应 。	tīngdào zhè ge xiāoxi, tā méiyǒu shénme fǎnyìng.	Hearing this news, he didn't have any reaction.
听见	to hear	tīng jiàn	我 听见 有 人 在 说话 。	wǒ tīngjiàn yǒurén zài shuōhuà.	I hear someone speaking.
失败	failure; to fail	shī bài	虽然 他 考试 失败 了 ， 但是 他 没有 放弃 。	suīrán tā kǎoshì shībài le, dànshì tā méiyǒu fàngqì.	Although he failed the exam, he didn't give up.
通	to be through; open	tōng	这 条 路 不 通。	zhè tiáo lù bù tōng.	This road is blocked.
有时	sometimes	yǒu shí	我 有时 喜欢 一 个 人 看 电影 。	wǒ yǒushí xǐhuan yī gè rén kàn diànyǐng.	Sometimes, I like to watch movies alone.
蛋	egg	dàn	你 早上 吃 了 几 个 鸡蛋 ？	nǐ zǎoshang chī le jǐ ge jīdàn?	How many eggs did you eat this morning?
