word	word_meaning	word_pinyin	sentence	sentence_pinyin	sentence_meaning
搬	to move	bān	请 你 帮忙 搬 这 张 桌子	qǐng nǐ bāngmáng bān zhè zhāng zhuōzi.	Please help move this table.
拿	to take	ná	你 能 帮 我 拿 一下 这个 杯子 吗	nǐ néng bāng wǒ ná yīxià zhège bēizǐ ma	Can you take this cup for me?
包	bag	bāo	你 能 帮忙 我 拿 这个 包 吗	nǐ néng bāngmáng wǒ ná zhège bāo ma	Can you help me take this bag?
带	bring	dài	我 带 了 一些 水果 去 旅行	wǒ dài le yīxiē shuǐguǒ qù lǚxíng	I brought some fruits for the trip.
借	to lend	jiè	我 把 铅笔 借 给 他 了	wǒ bǎ qiānbǐ jiè gěi tā le	I lent him the pencil.
愿意	willing	yuàn yì	你 愿意 借 我 这 本 书 吗	nǐ yuànyì jiè wǒ zhè běn shū ma	Are you willing to lend me this book?
一会儿	a while	yī huì r	我 需要 离开 一会儿 的时候，你 能 帮 我 看 一下 我 的 狗 吗	wǒ xūyào líkāi yīhuǐ'er de shíhòu, nǐ néng bāng wǒ kàn yīxià wǒ de gǒu ma	Can you watch my dog ​​when I need to be away for a while?
字典	dictionary	zì diǎn	你 有 可以 借 给 我 用 的 字典 吗	nǐ yǒu kěyǐ jiè gěi wǒ yòng de zìdiǎn ma?	Do you have a dictionary you can lend me?
解决	to resolve	jiě jué	这个 问题 很 难 解决	zhège wèntí hěn nán jiějué	This problem is difficult to solve.
办法	means	bàn fǎ	我 不知 道 怎么 解决 这个 问题 ， 你 有 什么 好 的 办法 吗	wǒ bù zhīdào zěnme jiějué zhège wèntí, nǐ yǒu shénme hǎo de bànfǎ ma	I don't know how to solve this problem, do you have any good ideas.
护照	passport	hù zhào	你 有 护照 吗	nǐ yǒu hùzhào ma	Do you have a passport?
记得	to remember	jì de	你 记得 带 护照 了 吗	nǐ jìdé dài hùzhào le ma	Did you remember to bring your passport?
伞	umbrella	sǎn	周末 会 下雨 ， 记得 带 伞	zhōumò huì xià yǔ, jìdé dài sǎn	It will rain this weekend, remember to bring an umbrella.
宾馆	hotel	bīn guǎn	我 今晚 住 在 宾馆	wǒ jīn wǎn zhù zài bīnguǎn	I'm staying in a hotel tonight.
鞋	shoe	xié	记得 多 带 一 双 鞋	jìdé duō dài yīshuāng xié	Remember to bring an extra pair of shoes.
行李箱	suitcase	xíng li xiāng	我 的 鞋子 在 行李箱 里	wǒ de xiézǐ zài hánglǐxiāng lǐ	My shoes are in the suitcase.
忘记	to forget	wàng jì	我 在 宾馆 忘记 了 我 的 行李箱	wǒ zài bīnguǎn wàngjìle wǒ de xínglǐ xiāng	I forgot my suitcase at the hotel.
电子	electronic	diàn zǐ	我 在 用 手机 看 电子 书	wǒ zài yòng shǒujī kàn diànzǐ shū	I'm reading an e-book on my phone.
上网	to be on the internet	shàng wǎng	我 在 网上 买了 一 本 书	wǒ zài wǎngshàng mǎile yī běn shū	I bought a book online.
照片	photograph	zhào piàn	你 觉得 我 的 照片 怎么样	nǐ juédé wǒ de zhàopiàn zěnme yàng	What do you think of my photograph?
过去	(in the) past	guò qu	这 是 我 过去 的 照片	zhè shì wǒ guòqù de zhàopiàn	This is a photo from my past.
照相机	camera	zhào xiàng jī	你 带 照相机 了 吗？	nǐ dài zhàoxiàngjī le ma?	Did you bring your camera?
总是	always	zǒng shì	他 旅行 时 总是 带 着 照相机	tā lǚxíng shí zǒngshì dàizhe zhàoxiàngjī	He always takes a camera when he travels.
换	to change	huàn	我 想 换 一 件 衣服	wǒ xiǎng huàn yī jiàn yīfú	I want to change my clothes.
坏	bad	huài	我 的 手机 坏了 , 周末 我 要 去 商店 换 一 个 。	wǒ de shǒujī huài le, zhōumò wǒ yào qù shāngdiàn huàn yí ge	my phone broke, on the weekend I need to go to the store to replace it.
旧	old	jiù	我 有 一 辆 旧 车	wǒ yǒuyī liàng jiù chē	I have an old car.
眼镜	spectacles	yǎn jìng	我 的 眼镜 太 旧 了 ， 我 要 换 新 的	wǒ de yǎnjìng tài jiùle, wǒ yào huàn xīn de	my glasses are too old, I need new ones.
冬	winter	dōng	冬天 经常 下雪	dōngtiān jīngcháng xiàxuě	It snows a lot in the winter.
久	(long) time	jiǔ	好久 没 这么 冷 的 天气 了	hǎojiǔ méi zhème lěng de tiānqìle	It hasn't been this cold for a long time.
虽然	although	suī rán	虽然 现在 是 冬天 ， 但是 今天 很 热	suīrán xiànzài shì dōngtiān, dànshì jīntiān hěn rè	although it is winter now, it is hot today
夏	summer	xià	夏天 真 的 很 热	xiàtiān zhēn de hěn rè	It is really hot in the summer.
空调	air conditioning	kōng tiáo	我 需要 开 空调	wǒ xūyào kāi kōngtiáo	 I need to turn on the air conditioning.
季节	season	jì jié	夏天 是 我 最 喜欢 的 季节	xiàtiān shì wǒ zuì xǐhuān de jìjié	Summer is my favorite season.
春	spring	chūn	春天 来了，鸟 在 树 上 唱歌	chūntiān láile, niǎo zài shù shàng chànggē	Spring is here, and birds are singing in the trees.
秋	fall	qiū	秋天 不 冷 也不 热。	qiūtiān bù lěng yě bù rè.	Autumn is neither cold nor hot.
变化	change	biàn huà	每年 春天 和 秋天 ， 天气 会 有 很 大 的 变化	měi nián chūntiān hé qiūtiān, tiānqì huì yǒu hěn dà de biànhuà	Every spring and autumn, there are significant changes in weather.
更	more	gèng	今天 比 昨天 更 热	jīntiān bǐ zuótiān gèng rè	Today is even hotter than yesterday.
爱好	hobby	ài hào	我的爱好是学习汉语.	wǒ de àihào shì xuéxí hànyǔ.	My hobby is learning Chinese.
地	-ly	de	他认真地学习汉语.	tā rènzhēn de xuéxí hànyǔ.	He studies Chinese seriously.
了解	to understand	liǎo jiě	了解 一个人 的 爱好 可以 帮助 你 更 好 地 了解 这个 人	liǎojiě yí ge rén de àihào kěyǐ bāngzhù nǐ gèng hǎode liǎojiě zhège rén	Knowing someone's hobbies can help you understand that person better.
最近	recent	zuì jìn	最近 她 学习 了 做 一些 中国菜	zuìjìn tā xuéxíle zuò yīxiē zhōngguó cài	recently, she has learned to cook some chinese dishes
游戏	game	yóu xì	我 最近 玩了 很多 电子 游戏	wǒ zuìjìn wánle hěnduō diànzǐ yóuxì	I've been playing a lot of video games recently.
兴趣	interest	xìng qù	你 有 什么 兴趣 爱好	nǐ yǒu shé me xìngqù àihào	What are your hobbies and interests?
音乐	music	yīn yuè	我 喜欢 听 音乐 和 看 电影	wǒ xǐhuān tīng yīnyuè hé kàn diànyǐng	I like listening to music and watching movies
表演	play	biǎo yǎn	我 喜欢 看 音乐 表演	wǒ xǐhuān kàn yīnyuè biǎoyǎn	I like to watch music performances.
主要	main	zhǔ yào	我 的 主要 兴趣 是 运动	wǒ de zhǔyào xìngqù shì yùndòng	my main interest is exercising
爱情	romance	ài qíng	我 喜欢 看 爱情 电影	wǒ xǐhuān kàn àiqíng diànyǐng	I like to watch romance movies.
新闻	news	xīn wén	我 每天 早上 都 看 新闻。	Wǒ měitiān zǎoshang dōu kàn xīnwén.	I watch the news every morning.
节目	program; show	jié mù	这个 电视 节目 是 关于 动物 的。	Zhège diànshì jiémù shì guānyú dòngwù de.	This TV show is about animals.
当然	only natural	dāng rán	我 当然 想 去 看 电影	wǒ dāngrán xiǎng qù kàn diànyǐng	Of course I want to go see a movie.
小心	to be careful	xiǎo xīn	你 晚上 走路 的 时候 应该 小心	nǐ wǎnshàng zǒulù de shíhòu yīnggāi xiǎoxīn	You should be careful when walking late at night.
出现	to appear	chū xiàn	如果 他 九 点 还 没 出现 ， 我们 就 会 离开	rúguǒ tā jiǔ diǎn hái méi chūxiàn, wǒmen jiù huì líkāi	If he doesn't show up by nine o'clock, we will leave. 
同意	to agree	tóng yì	我 妈妈 不 同意 我 晚点 出去	wǒ māmā bù tóngyì wǒ wǎndiǎn chūqù	My mother doesn't agree with me going out late.
一定	surely	yī dìng	我 一定 会 在 八点 前 回 家	Wǒ yīdìng huì zài bā diǎn qián huí jiā	I will definitely be home before eight o'clock.
影响	affect	yǐng xiǎng	看 太 多 电影 会 影响 你 的 学习	kàn tài duō diànyǐng huì yǐngxiǎng nǐ de xuéxí	Watching too many movies will affect your studies.
银行	bank	yín háng	银行 什么 时候 开门	yínháng shénme shíhòu kāimén	When does the bank open?
马上	at once	mǎ shàng	我 马上 要 去 银行	wǒ mǎshàng yào qù yínháng	I must go to the bank at once.
方便	convenient	fāng biàn	上网 银行 比 去 银行 方便 多 了	shàngwǎng yínháng bǐ qù yínháng fāngbiàn duōle	Online banking is much more convenient than going to the bank.
角	10 cents	jiǎo	我 少了 一角 钱	wǒ huì xiě zhège juésè, nǐ ne?	I'm short ten cents.
万	ten thousand	wàn	银行借给他一万元	yínháng jiè gěi tā yī wàn yuán	The bank lent him 10,000 yuan.
一共	altogether	yī gòng	我 从 银行 拿出 一共 两 万 零 三 百 元	wǒ cóng yínháng náchū yīgòng liǎng wàn líng sān bǎi yuán	I took out 20,300 yuan altogether from the bank.
先	first	xiān	我 先 去 商店, 然后 去 银行	wǒ xiān qù shāngdiàn, ránhòu qù yínháng	I'll go to the store first, then go to the bank.
根据	according to	gēn jù	根据 经理 ， 银行 明天 一定 会 开	gēnjù jīnglǐ, yínháng míngtiān yídìng huì kāi	According to the manager, the bank will surely be open tomorrow。
别人	other people	bié ren	  她 经常 帮助 别人	tā jīngcháng bāngzhù biérén	 She regularly helps others.
低	low	dī	他 的 声音 很 低	tā de shēngyīn hěn dī	His voice is low.
热情	enthusiastic	rè qíng	  他 总是 热情 地 讲话	tā zǒng shì rèqíng de jiǎnghuà	 He always speaks enthusiastically.
一般	generally	yī bān	  他 一般 周末 都 去 公园 跑步。	tā yībān zhōumò dōu qù gōngyuán pǎobù	 He usually goes to the park to run on weekends.
聪明	smart	cōng ming	他 是 我们 班 最 聪明 的	tā shì wǒmen bān zuì cōngmíng de	He is the smartest in our class.
比较	to compare; rele	bǐ jiào	他 比较 快	tā bǐjiào kuài	He is relatively fast.
差	poor	chà	虽然 他 的 成绩 比较 差 ， 但 他 非常 聪明	suīrán tā de chéngjī bǐjiào chà, dàn tā fēicháng cōngmíng	Although his grades are relatively poor, he is very smart.
关系	relationship	guān xì	你 和 她 是 什么 关系	nǐ hé tā shì shénme guānxì	What is your relationship with her?
担心	to worry	dān xīn	妈妈 担心 我 的 学习 成绩	māmā dānxīn wǒ de xuéxí chéngjì	Mom is worried about my grades.
放心	to feel relieved	fàng xīn	你 放心 ，我 的 成绩 比较 好	nǐ fàngxīn, wǒ de chéngjì bǐjiào hǎo.	Don't worry, my grades are relatively good.
一边	one side	yī biān	考试 后 ， 我 一边 放心 ， 一边 担心	Kǎoshì hòu, wǒ yībiān fàngxīn, yībiān dānxīn	After the test, I feel relieved while also worried,
着急	anxious; hurried	zháo jí	他 上学 迟到 了，所以 很 着急	tā shàngxué chídàole, suǒyǐ hěn zhāojí	He was late for school, so he felt very anxious.
哭	to cry	kū	爸爸 离开 后，孩子 开始 哭	bàba líkāi hòu, háizǐ kāishǐ kū	After the father left, the child started crying.
生气	angry	shēng qì	经理 很 生气，因为 我 迟 到了	jīnglǐ hěn shēngqì, yīnwèi wǒ chídàole	The manager was angry because I was late.
极	extremely	jí	看到 孩子们 没 做作 业 ， 妈妈 生气 极了	kàn dào háizimen méi zuò zuo yè, māmā shēngqì jíle.	The mother was extremely angry when she saw that the children did not do their homework.
害怕	to be afraid	hài pà	孩子 看到 那 条 大 狗 就 害怕 得 哭 了	Háizi kàn dào nà tiáo dà gǒu jiù hàipà dé kūle	the little child cried out of fear upon seeing the big dog
满意	satisfied	mǎn yì	孩子 看到 生日 礼物 后 很 满意	háizi kàn dào shēngrì lǐwù hòu hěn mǎnyì	The child was very satisfied after seeing the birthday gift.
敢	to dare	gǎn	虽然 很 害怕，但是 他 敢 说话	suīrán hěn hàipà, dànshì tā gǎn shuōhuà	Although very scared, he dared to speak.
难过	to feel sad	nán guò	我 难过地 告诉 她，今天 不能 去 参加 聚会	wǒ nánguò de gàosù tā, jīntiān bùnéng qù cānjiā jùhuì	I told her sadly that I couldn't go to the party today.
使	to make	shǐ	他 的 话 使 我 很 难过	tā de huà shǐ wǒ hěn nánguò	His words made me very sad.
啤酒	beer	pí jiǔ	我 想要 一 杯 啤酒	wǒ xiǎng yào yībēi píjiǔ	I'd like a cup of beer.
蛋糕	cake	dàn gāo	他 妈妈 给 我们 做了 一个 蛋糕	tā māmā gěi wǒmen zuòle yīgè dàngāo	His mother made us a cake.
甜	sweet	tián	这 蛋糕 真 甜	zhè dàngāo zhēn tián	This cake is really sweet.
其实	actually	qí shí	其实 我 不 喜欢 吃 甜 的	qíshí wǒ bù xǐhuān chī tián de	Actually, I don’t like to eat sweet things.
种	type	zhǒng	你 喜欢 哪 种 水果	nǐ xǐhuān nǎ zhǒng shuǐguǒ?	What kind of fruit do you like?
容易	easy	róng yì	这个 蛋糕 很 容易 做	zhège dàngāo hěn róngyì zuò	This cake is so easy to make.
超市	supermarket	chāo shì	我 在 超市 里 买 了 三 种 水果	wǒ zài chāoshì lǐ mǎile sān zhǒng shuǐguǒ	I bought three kinds of fruits at the supermarket.
新鲜	fresh	xīn xiān	我 在 超市 买了 新鲜 水果	wǒ zài chāoshì mǎile xīnxiān shuǐguǒ	I bought fresh fruits at the supermarket.
半	half	bàn	她 喝 了 半 杯 啤酒	tā hēle bàn bēi píjiǔ	She drank half a glass of beer.
香蕉	banana	xiāng jiāo	我 从 家里 带了 根香蕉 来 班 里	wǒ cóng jiālǐ dàile gēn xiāngjiāo lái bān lǐ	I brought a banana from home to class.
特别	especially	tè bié	这个 香蕉 特别 新鲜	zhège xiāngjiāo tèbié xīnxiān	This banana is especially fresh.
盘子	plate	pán zi	我 可以 有 一 个 盘子 吗	wǒ kěyǐ yǒu yīgè pánzi ma	Can I have a plate?
葡萄	grape	pú tao	我 在 超市 买 了 葡萄	wǒ zài chāoshì mǎile pútáo	I bought grapes at the supermarket.
发现	to find	fā xiàn	我 发现 了 一家 新 的 便宜 超市	wǒ fāxiànle yījiā xīn de piányí chāoshì	I discovered a new cheap supermarket.
糖	sugar	táng	这个 蛋糕 需要 多少 糖	zhège dàngāo xūyào duōshǎo táng	How much sugar does this cake need?
以为	to believe	yǐ wéi	我们 以为 这 道 菜 很 甜 ， 但 其实 不 甜	wǒmen yǐwéi zhè dào cài hěn tián, dàn qíshí bù tián	We thought this dish was sweet, but actually it’s not.
越	the more	yuè	糖 放 得 越 多 ， 蛋糕 就 越 甜	táng fàng de yuè duō, dàngāo jiù yuè tián	the more sugar added, the sweeter the cake
